Session Day,Acquisition Time,Scan Number,Scan Type,Scan Description,Usability,Session,CountScan,Release,CDB_scan,CDB_Type,View,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,CDB_Description,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
,2015-05-09,111312_mov1_7T,,,,,,,,,,,,,,,,,,,,,
Day 1,15:45:12,1,Localizer,Localizer,,1,N,,,,,,,,,,,,,,,,
Day 1,15:45:19,2,AAHScout,AAHScout_32ch,,1,N,,,,,,,,,,,,,,,,
Day 1,15:45:19,3,AAHScout,AAHScout_32ch_MPR,,1,N,,,,,,,,,,,,,,,,
Day 1,15:45:37,4,Localizer_aligned,Localizer_aligned,,1,N,,,,,,,,,,,,,,,,
Day 1,15:46:46,5,Bias_Transmit,AFI,,1,Y,Y,101,Bias_Transmit,N,A,1,,,AFI,,,,,,,
Day 1,15:55:34,6,rfMRI_SBRef,BOLD_REST1_PA_SBRef,,1,Y,Y,102,rfMRI_SBRef,N,B,1,1,,rfMRI_REST1_PA_SBRef,'+y,,,,,,
Day 1,15:55:43,7,rfMRI,BOLD_REST1_PA,,1,Y,Y,103,rfMRI,Y,B,1,1,,rfMRI_REST1_PA,'+y,,,1,Y,100.0,
Day 1,16:12:34,8,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,104,FieldMap_SE_EPI_SBRef,N,B,1,1,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,16:12:55,9,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,105,FieldMap_SE_EPI,N,B,1,1,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,16:14:26,10,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,106,FieldMap_SE_EPI_SBRef,N,B,1,1,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,16:14:47,11,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,Y,107,FieldMap_SE_EPI,N,B,1,1,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,16:17:40,12,tfMRI_SBRef,BOLD_MOVIE1_AP_SBRef,,1,Y,Y,108,tfMRI_SBRef,N,B,1,2,,tfMRI_MOVIE1_AP_SBRef,'-y,,,,,,
Day 1,16:17:49,13,tfMRI,BOLD_MOVIE1_AP,,1,Y,Y,109,tfMRI,Y,B,1,2,,tfMRI_MOVIE1_AP,'-y,,,1,Y,100.0,
Day 1,16:34:34,14,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,110,FieldMap_SE_EPI_SBRef,N,B,1,2,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,16:34:55,15,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,111,FieldMap_SE_EPI,N,B,1,2,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,16:36:10,16,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,112,FieldMap_SE_EPI_SBRef,N,B,1,2,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,16:36:32,17,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,Y,113,FieldMap_SE_EPI,N,B,1,2,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,16:38:53,18,tfMRI_SBRef,BOLD_MOVIE2_PA_SBRef,,1,Y,Y,114,tfMRI_SBRef,N,B,1,2,,tfMRI_MOVIE2_PA_SBRef,'+y,,,,,,
Day 1,16:39:02,19,tfMRI,BOLD_MOVIE2_PA,,1,Y,Y,115,tfMRI,Y,B,1,2,,tfMRI_MOVIE2_PA,'+y,,,1,Y,100.0,
Day 1,16:54:35,20,FieldMap,FieldMap_Magnitude,,1,Y,N,116,,,,1,,,,,,,,,,
Day 1,16:54:36,21,FieldMap,FieldMap_Phase,,1,Y,N,117,,,,1,,,,,,,,,,
,2015-05-09,111312_ret_7Tb,,,,,,,,,,,,,,,,,,,,,
Day 1,18:23:33,1,Localizer,Localizer,,2,N,,,,,,,,,,,,,,,,
Day 1,18:23:42,2,AAHScout,AAHScout_32ch,,2,N,,,,,,,,,,,,,,,,
Day 1,18:23:42,3,AAHScout,AAHScout_32ch_MPR,,2,N,,,,,,,,,,,,,,,,
Day 1,18:24:02,4,Localizer_aligned,Localizer_aligned,,2,N,,,,,,,,,,,,,,,,
Day 1,18:25:55,5,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,2,Y,N,201,FieldMap_SE_EPI_SBRef,,C,2,3,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,18:26:16,6,FieldMap_SE_EPI,BOLD_PA_SE,,2,Y,N,202,FieldMap_SE_EPI,,C,2,3,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,18:27:27,7,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,2,Y,N,203,FieldMap_SE_EPI_SBRef,,C,2,3,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,18:27:48,8,FieldMap_SE_EPI,BOLD_AP_SE,,2,Y,N,204,FieldMap_SE_EPI,,C,2,3,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,18:30:16,9,tfMRI_SBRef,BOLD_RET1_AP_SBRef,,2,Y,Y,205,tfMRI_SBRef,N,C,2,4,,tfMRI_RETCCW_AP_SBRef,'-y,,,,,,
Day 1,18:30:25,10,tfMRI,BOLD_RET1_AP,,2,Y,Y,206,tfMRI,Y,C,2,4,,tfMRI_RETCCW_AP,'-y,,,1,Y,100.0,
Day 1,18:37:22,11,tfMRI_SBRef,BOLD_RET2_PA_SBRef,,2,Y,Y,207,tfMRI_SBRef,N,C,2,4,,tfMRI_RETCW_PA_SBRef,'+y,,,,,,
Day 1,18:37:31,12,tfMRI,BOLD_RET2_PA,,2,Y,Y,208,tfMRI,Y,C,2,4,,tfMRI_RETCW_PA,'+y,,,1,Y,100.0,
Day 1,18:44:38,13,tfMRI_SBRef,BOLD_RET3_AP_SBRef,,2,Y,Y,209,tfMRI_SBRef,N,C,2,4,,tfMRI_RETEXP_AP_SBRef,'-y,,,,,,
Day 1,18:44:47,14,tfMRI,BOLD_RET3_AP,,2,Y,Y,210,tfMRI,Y,C,2,4,,tfMRI_RETEXP_AP,'-y,,,1,Y,100.0,
Day 1,18:51:49,15,tfMRI_SBRef,BOLD_RET4_PA_SBRef,,2,Y,Y,211,tfMRI_SBRef,N,C,2,4,,tfMRI_RETCON_PA_SBRef,'+y,,,,,,
Day 1,18:51:59,16,tfMRI,BOLD_RET4_PA,,2,Y,Y,212,tfMRI,Y,C,2,4,,tfMRI_RETCON_PA,'+y,,,1,Y,100.0,
Day 1,18:58:19,17,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,2,Y,Y,213,FieldMap_SE_EPI_SBRef,N,C,2,4,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,18:58:40,18,FieldMap_SE_EPI,BOLD_PA_SE,,2,Y,Y,214,FieldMap_SE_EPI,N,C,2,4,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,18:59:50,19,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,2,Y,Y,215,FieldMap_SE_EPI_SBRef,N,C,2,4,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,19:00:11,20,FieldMap_SE_EPI,BOLD_AP_SE,,2,Y,Y,216,FieldMap_SE_EPI,N,C,2,4,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,19:02:07,21,tfMRI_SBRef,BOLD_RET5_AP_SBRef,,2,Y,Y,217,tfMRI_SBRef,N,C,2,4,,tfMRI_RETBAR1_AP_SBRef,'-y,,,,,,
Day 1,19:02:16,22,tfMRI,BOLD_RET5_AP,,2,Y,Y,218,tfMRI,Y,C,2,4,,tfMRI_RETBAR1_AP,'-y,,,1,Y,100.0,
Day 1,19:09:08,23,tfMRI_SBRef,BOLD_RET6_PA_SBRef,,2,Y,Y,219,tfMRI_SBRef,N,C,2,4,,tfMRI_RETBAR2_PA_SBRef,'+y,,,,,,
Day 1,19:09:17,24,tfMRI,BOLD_RET6_PA,,2,Y,Y,220,tfMRI,Y,C,2,4,,tfMRI_RETBAR2_PA,'+y,,,1,Y,100.0,
Day 1,19:14:24,25,FieldMap,FieldMap_Magnitude,,2,Y,N,221,,,,2,,,,,,,,,,
Day 1,19:14:25,26,FieldMap,FieldMap_Phase,,2,Y,N,222,,,,2,,,,,,,,,,
,2015-08-15,111312_mov2_7T,,,,,,,,,,,,,,,,,,,,,
Day 2,07:57:49,1,Localizer,Localizer,,3,N,,,,,,,,,,,,,,,,
Day 2,07:57:56,2,AAHScout,AAHScout_32ch,,3,N,,,,,,,,,,,,,,,,
Day 2,07:57:56,3,AAHScout,AAHScout_32ch_MPR,,3,N,,,,,,,,,,,,,,,,
Day 2,07:58:13,4,Localizer_aligned,Localizer_aligned,,3,N,,,,,,,,,,,,,,,,
Day 2,07:58:58,5,Bias_Transmit,AFI,,3,Y,Y,301,Bias_Transmit,N,A,3,,,AFI,,,,,,,
Day 2,08:07:00,6,BOLD_REST4_PA_SBRef,BOLD_REST4_PA_SBRef,,3,Y,Y,302,BOLD_REST4_PA_SBRef,N,D,3,5,,BOLD_REST4_PA_SBRef,,,,,,,
Day 2,08:07:09,7,BOLD_REST4_PA,BOLD_REST4_PA,,3,Y,Y,303,BOLD_REST4_PA,Y,D,3,5,,BOLD_REST4_PA,,,,,,,
Day 2,08:23:46,8,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,3,Y,N,304,FieldMap_SE_EPI_SBRef,,D,3,5,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,08:24:07,9,FieldMap_SE_EPI,BOLD_PA_SE,,3,Y,N,305,FieldMap_SE_EPI,,D,3,5,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,08:25:36,10,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,3,Y,N,306,FieldMap_SE_EPI_SBRef,,D,3,5,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,08:25:57,11,FieldMap_SE_EPI,BOLD_AP_SE,,3,Y,N,307,FieldMap_SE_EPI,,D,3,5,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 2,08:29:10,12,tfMRI_SBRef,BOLD_MOVIE3_PA_SBRef,,3,Y,Y,308,tfMRI_SBRef,N,D,3,6,,tfMRI_MOVIE3_PA_SBRef,'+y,,,,,,
Day 2,08:29:19,13,tfMRI,BOLD_MOVIE3_PA,,3,Y,Y,309,tfMRI,Y,D,3,6,,tfMRI_MOVIE3_PA,'+y,,,1,Y,100.0,
Day 2,08:45:53,14,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,3,Y,Y,310,FieldMap_SE_EPI_SBRef,N,D,3,6,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,08:46:14,15,FieldMap_SE_EPI,BOLD_PA_SE,,3,Y,Y,311,FieldMap_SE_EPI,N,D,3,6,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,08:47:24,16,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,3,Y,Y,312,FieldMap_SE_EPI_SBRef,N,D,3,6,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,08:47:45,17,FieldMap_SE_EPI,BOLD_AP_SE,,3,Y,Y,313,FieldMap_SE_EPI,N,D,3,6,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 2,08:50:06,18,tfMRI_SBRef,BOLD_MOVIE4_AP_SBRef,,3,Y,Y,314,tfMRI_SBRef,N,D,3,6,,tfMRI_MOVIE4_AP_SBRef,'-y,,,,,,
Day 2,08:50:15,19,tfMRI,BOLD_MOVIE4_AP,,3,Y,Y,315,tfMRI,Y,D,3,6,,tfMRI_MOVIE4_AP,'-y,,,1,Y,100.0,
Day 2,09:05:23,20,FieldMap,FieldMap_Magnitude,,3,Y,N,316,,,,3,,,,,,,,,,
Day 2,09:05:23,21,FieldMap,FieldMap_Phase,,3,Y,N,317,,,,3,,,,,,,,,,
,2015-08-15,111312_diff_7T,,,,,,,,,,,,,,,,,,,,,
Day 2,09:33:20,1,Localizer,Localizer,,4,N,,,,,,,,,,,,,,,,
Day 2,09:33:27,2,AAHScout,AAHScout_32ch,,4,N,,,,,,,,,,,,,,,,
Day 2,09:33:27,3,AAHScout,AAHScout_32ch_MPR,,4,N,,,,,,,,,,,,,,,,
Day 2,09:33:47,4,Localizer_aligned,Localizer_aligned,,4,N,,,,,,,,,,,,,,,,
Day 2,09:38:16,5,rfMRI_SBRef,BOLD_REST3_PA_SBRef,,4,Y,Y,401,rfMRI_SBRef,N,E,4,7,,rfMRI_REST3_PA_SBRef,'+y,,,,,,
Day 2,09:38:25,6,rfMRI,BOLD_REST3_PA,,4,Y,Y,402,rfMRI,Y,E,4,7,,rfMRI_REST3_PA,'+y,,,1,Y,100.0,
Day 2,09:54:45,7,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,4,Y,Y,403,FieldMap_SE_EPI_SBRef,N,E,4,7,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,09:55:06,8,FieldMap_SE_EPI,BOLD_PA_SE,,4,Y,Y,404,FieldMap_SE_EPI,N,E,4,7,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,09:56:16,9,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,4,Y,Y,405,FieldMap_SE_EPI_SBRef,N,E,4,7,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,09:56:37,10,FieldMap_SE_EPI,BOLD_AP_SE,,4,Y,Y,406,FieldMap_SE_EPI,N,E,4,7,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 2,09:58:36,11,dMRI_SBRef,DWI_AP_dir71_SBRef,,4,Y,Y,407,dMRI_SBRef,N,E,4,8,,DWI_dir71_AP_SBRef,'-y,,,,,,
Day 2,09:58:57,12,dMRI,DWI_AP_dir71,,4,Y,Y,408,dMRI,Y,E,4,8,,DWI_dir71_AP,'-y,,,1,Y,100.0,100.0
Day 2,10:08:48,13,dMRI_SBRef,DWI_PA_dir71_SBRef,,4,Y,Y,409,dMRI_SBRef,N,E,4,8,,DWI_dir71_PA_SBRef,'+y,,,,,,
Day 2,10:09:09,14,dMRI,DWI_PA_dir71,,4,Y,Y,410,dMRI,Y,E,4,8,,DWI_dir71_PA,'+y,,,2,Y,100.0,100.0
Day 2,10:19:29,15,dMRI_SBRef,DWI_AP_dir72_SBRef,,4,Y,Y,411,dMRI_SBRef,N,E,4,8,,DWI_dir72_AP_SBRef,'-y,,,,,,
Day 2,10:19:50,16,dMRI,DWI_AP_dir72,,4,Y,Y,412,dMRI,Y,E,4,8,,DWI_dir72_AP,'-y,,,3,Y,100.0,100.0
Day 2,10:29:48,17,dMRI_SBRef,DWI_PA_dir72_SBRef,,4,Y,Y,413,dMRI_SBRef,N,E,4,8,,DWI_dir72_PA_SBRef,'+y,,,,,,
Day 2,10:30:09,18,dMRI,DWI_PA_dir72,,4,Y,Y,414,dMRI,Y,E,4,8,,DWI_dir72_PA,'+y,,,4,Y,100.0,100.0
Day 2,10:39:20,19,DWI_AP_SSref_SBRef,DWI_AP_SSref_SBRef,,4,Y,N,415,,,,4,,,,,,,,,,
Day 2,10:39:48,20,DWI_AP_SSref,DWI_AP_SSref,,4,Y,N,416,,,,4,,,,,,,,,,
Day 2,10:40:42,21,DWI_PA_SSref_SBRef,DWI_PA_SSref_SBRef,,4,Y,N,417,,,,4,,,,,,,,,,
Day 2,10:41:10,22,DWI_PA_SSref,DWI_PA_SSref,,4,Y,N,418,,,,4,,,,,,,,,,
Day 2,10:42:31,23,DWI_AP_SEGref_SBRef,DWI_AP_SEGref_SBRef,,4,Y,N,419,,,,4,,,,,,,,,,
Day 2,10:42:59,24,DWI_AP_SEGref,DWI_AP_SEGref,,4,Y,N,420,,,,4,,,,,,,,,,
Day 2,10:44:20,25,DWI_PA_SEGref_SBRef,DWI_PA_SEGref_SBRef,,4,Y,N,421,,,,4,,,,,,,,,,
Day 2,10:44:48,26,DWI_PA_SEGref,DWI_PA_SEGref,,4,Y,N,422,,,,4,,,,,,,,,,
Day 2,10:44:58,27,FieldMap_dMRI,FieldMap_diffusion,,4,Y,N,423,,,,4,,,,,,,,,,
Day 2,10:44:59,28,FieldMap_dMRI,FieldMap_diffusion,,4,Y,N,424,,,,4,,,,,,,,,,
Day 2,10:49:37,29,rfMRI_SBRef,BOLD_REST2_AP_SBRef,unusable,4,N,,,,,,,,,,,,,,,,
Day 2,10:49:46,30,rfMRI,BOLD_REST2_AP,unusable,4,N,,,,,,,,,,,,,,,,
Day 2,11:02:40,31,rfMRI_SBRef,BOLD_REST2_AP_SBRef,,4,Y,Y,425,rfMRI_SBRef,N,E,4,8,,rfMRI_REST2_AP_SBRef,'-y,,,,,,
Day 2,11:02:49,32,rfMRI,BOLD_REST2_AP,,4,Y,Y,426,rfMRI,Y,E,4,8,,rfMRI_REST2_AP,'-y,,,1,Y,100.0,
Day 2,11:19:03,33,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,4,Y,Y,427,FieldMap_SE_EPI_SBRef,N,E,4,8,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,11:19:24,34,FieldMap_SE_EPI,BOLD_PA_SE,,4,Y,Y,428,FieldMap_SE_EPI,N,E,4,8,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,11:20:33,35,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,4,Y,Y,429,FieldMap_SE_EPI_SBRef,N,E,4,8,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,11:20:54,36,FieldMap_SE_EPI,BOLD_AP_SE,,4,Y,Y,430,FieldMap_SE_EPI,N,E,4,8,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 2,11:21:07,37,FieldMap,FieldMap_Magnitude,,4,Y,N,431,,,,4,,,,,,,,,,
Day 2,11:21:07,38,FieldMap,FieldMap_Phase,,4,Y,N,432,,,,4,,,,,,,,,,
