Session Day,Acquisition Time,Scan Number,Scan Type,Scan Description,Usability,Session,CountScan,Release,CDB_scan,CDB_Type,View,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,CDB_Description,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
,2015-04-22,204521_mov1_7T,,,,,,,,,,,,,,,,,,,,,
Day 1,15:51:58,1,Localizer,Localizer,,1,N,,,,,,,,,,,,,,,,
Day 1,15:52:06,2,AAHScout,AAHScout_32ch,,1,N,,,,,,,,,,,,,,,,
Day 1,15:52:06,3,AAHScout,AAHScout_32ch_MPR,,1,N,,,,,,,,,,,,,,,,
Day 1,15:52:25,4,Localizer_aligned,Localizer_aligned,,1,N,,,,,,,,,,,,,,,,
Day 1,15:53:10,5,Bias_Transmit,AFI,,1,Y,Y,101,Bias_Transmit,N,A,1,,,AFI,,,,,,,
Day 1,16:03:02,6,rfMRI_SBRef,BOLD_REST1_PA_SBRef,unusable,1,N,,,,,,,,,,,,,,,,
Day 1,16:03:11,7,rfMRI,BOLD_REST1_PA,unusable,1,N,,,,,,,,,,,,,,,,
Day 1,16:19:47,8,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,N,102,FieldMap_SE_EPI_SBRef,,B,1,1,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,16:20:09,9,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,N,103,FieldMap_SE_EPI,,B,1,1,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,16:21:27,10,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,N,104,FieldMap_SE_EPI_SBRef,,B,1,1,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,16:21:48,11,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,N,105,FieldMap_SE_EPI,,B,1,1,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,16:26:32,14,tfMRI_SBRef,BOLD_MOVIE1_AP_SBRef,,1,Y,Y,106,tfMRI_SBRef,N,B,1,2,,tfMRI_MOVIE1_AP_SBRef,'-y,,,,,,
Day 1,16:26:41,15,tfMRI,BOLD_MOVIE1_AP,,1,Y,Y,107,tfMRI,Y,B,1,2,,tfMRI_MOVIE1_AP,'-y,,,1,Y,100.0,
Day 1,16:43:34,16,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,108,FieldMap_SE_EPI_SBRef,N,B,1,2,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,16:43:55,17,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,109,FieldMap_SE_EPI,N,B,1,2,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,16:45:11,18,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,110,FieldMap_SE_EPI_SBRef,N,B,1,2,,SpinEchoFieldMap_AP_SBRef,,,,,,,
