Session Day,Acquisition Time,Scan Number,Scan Type,Scan Description,Usability,Session,CountScan,Release,CDB_scan,CDB_Type,View,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,CDB_Description,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
,2015-09-05,157336_mov1_7T,,,,,,,,,,,,,,,,,,,,,
Day 1,09:33:25,1,Localizer,Localizer,,1,N,,,,,,,,,,,,,,,,
Day 1,09:33:32,2,AAHScout,AAHScout_32ch,,1,N,,,,,,,,,,,,,,,,
Day 1,09:33:32,3,AAHScout,AAHScout_32ch_MPR,,1,N,,,,,,,,,,,,,,,,
Day 1,09:33:50,4,Localizer_aligned,Localizer_aligned,,1,N,,,,,,,,,,,,,,,,
Day 1,09:34:36,5,Bias_Transmit,AFI,,1,Y,Y,101,Bias_Transmit,N,A,1,,,AFI,,,,,,,
Day 1,09:42:33,6,rfMRI_SBRef,BOLD_REST1_PA_SBRef,,1,Y,Y,102,rfMRI_SBRef,N,B,1,1,,rfMRI_REST1_PA_SBRef,'+y,,,,,,
Day 1,09:42:42,7,rfMRI,BOLD_REST1_PA,,1,Y,Y,103,rfMRI,Y,B,1,1,,rfMRI_REST1_PA,'+y,,,1,Y,100.0,
Day 1,09:59:17,8,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,104,FieldMap_SE_EPI_SBRef,N,B,1,1,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,09:59:38,9,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,105,FieldMap_SE_EPI,N,B,1,1,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,10:01:13,10,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,106,FieldMap_SE_EPI_SBRef,N,B,1,1,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,10:01:34,11,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,Y,107,FieldMap_SE_EPI,N,B,1,1,,SpinEchoFieldMap_AP,'-y,,,,,,
