Session Day,Acquisition Time,Scan Number,Scan Type,Scan Description,Usability,Session,CountScan,Release,CDB_scan,CDB_Type,View,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,CDB_Description,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
,2015-05-15,115017_mov1_7T,,,,,,,,,,,,,,,,,,,,,
Day 1,19:43:37,1,Localizer,Localizer,,1,N,,,,,,,,,,,,,,,,
Day 1,19:43:45,2,AAHScout,AAHScout_32ch,,1,N,,,,,,,,,,,,,,,,
Day 1,19:43:45,3,AAHScout,AAHScout_32ch_MPR,,1,N,,,,,,,,,,,,,,,,
Day 1,19:44:05,4,Localizer_aligned,Localizer_aligned,,1,N,,,,,,,,,,,,,,,,
Day 1,19:44:58,5,Bias_Transmit,AFI,,1,Y,Y,101,Bias_Transmit,N,A,1,,,AFI,,,,,,,
Day 1,19:53:50,6,rfMRI_SBRef,BOLD_REST1_PA_SBRef,,1,Y,Y,102,rfMRI_SBRef,N,B,1,1,,rfMRI_REST1_PA_SBRef,'+y,,,,,,
Day 1,19:53:59,7,rfMRI,BOLD_REST1_PA,,1,Y,Y,103,rfMRI,Y,B,1,1,,rfMRI_REST1_PA,'+y,,,1,Y,100.0,
Day 1,20:10:44,8,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,104,FieldMap_SE_EPI_SBRef,N,B,1,1,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,20:11:05,9,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,105,FieldMap_SE_EPI,N,B,1,1,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,20:13:04,10,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,106,FieldMap_SE_EPI_SBRef,N,B,1,1,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,20:13:25,11,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,Y,107,FieldMap_SE_EPI,N,B,1,1,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,20:16:57,12,tfMRI_SBRef,BOLD_MOVIE1_AP_SBRef,unusable,1,N,,,,,,,,,,,,,,,,
Day 1,20:17:06,13,tfMRI,BOLD_MOVIE1_AP,unusable,1,N,,,,,,,,,,,,,,,,
Day 1,20:33:55,14,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,unusable,1,N,,,,,,,,,,,,,,,,
Day 1,20:34:16,15,FieldMap_SE_EPI,BOLD_PA_SE,unusable,1,N,,,,,,,,,,,,,,,,
Day 1,20:43:37,16,Localizer_aligned,Localizer_aligned,,1,N,,,,,,,,,,,,,,,,
Day 1,20:47:17,17,tfMRI_SBRef,BOLD_MOVIE2_PA_SBRef,,1,Y,Y,108,tfMRI_SBRef,N,B,1,2,,tfMRI_MOVIE2_PA_SBRef,'+y,,,,,,
Day 1,20:47:26,18,tfMRI,BOLD_MOVIE2_PA,,1,Y,Y,109,tfMRI,Y,B,1,2,,tfMRI_MOVIE2_PA,'+y,,,1,Y,100.0,
Day 1,21:04:23,23,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,110,FieldMap_SE_EPI_SBRef,N,B,1,2,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,21:04:44,24,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,111,FieldMap_SE_EPI,N,B,1,2,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,21:05:54,25,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,112,FieldMap_SE_EPI_SBRef,N,B,1,2,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,21:06:15,26,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,Y,113,FieldMap_SE_EPI,N,B,1,2,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,21:06:52,27,FieldMap,FieldMap_Magnitude,,1,Y,N,114,,,,1,,,,,,,,,,
Day 1,21:06:53,28,FieldMap,FieldMap_Phase,,1,Y,N,115,,,,1,,,,,,,,,,
Day 1,21:29:35,29,Localizer_aligned,Localizer_aligned,,1,N,,,,,,,,,,,,,,,,
Day 1,21:32:11,30,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,1,Y,Y,116,FieldMap_SE_EPI_SBRef,N,B,1,3,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,21:32:32,31,FieldMap_SE_EPI,BOLD_PA_SE,,1,Y,Y,117,FieldMap_SE_EPI,N,B,1,3,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,21:33:42,33,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,1,Y,Y,118,FieldMap_SE_EPI_SBRef,N,B,1,3,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,21:34:03,34,FieldMap_SE_EPI,BOLD_AP_SE,,1,Y,Y,119,FieldMap_SE_EPI,N,B,1,3,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,21:36:36,35,tfMRI_SBRef,BOLD_MOVIE1_AP_SBRef,,1,Y,Y,120,tfMRI_SBRef,N,B,1,3,,tfMRI_MOVIE1_AP_SBRef,'-y,,,,,,
Day 1,21:36:45,36,tfMRI,BOLD_MOVIE1_AP,,1,Y,Y,121,tfMRI,Y,B,1,3,,tfMRI_MOVIE1_AP,'-y,,,1,Y,100.0,
,2015-05-16,115017_ret_7T,,,,,,,,,,,,,,,,,,,,,
Day 2,14:28:26,1,Localizer,Localizer,,2,N,,,,,,,,,,,,,,,,
Day 2,14:28:34,2,AAHScout,AAHScout_32ch,,2,N,,,,,,,,,,,,,,,,
Day 2,14:28:34,3,AAHScout,AAHScout_32ch_MPR,,2,N,,,,,,,,,,,,,,,,
Day 2,14:28:52,4,Localizer_aligned,Localizer_aligned,,2,N,,,,,,,,,,,,,,,,
Day 2,14:33:07,5,rfMRI_SBRef,BOLD_REST2_AP_SBRef,,2,Y,Y,201,rfMRI_SBRef,N,C,2,4,,rfMRI_REST2_AP_SBRef,'-y,,,,,,
Day 2,14:33:16,6,rfMRI,BOLD_REST2_AP,,2,Y,Y,202,rfMRI,Y,C,2,4,,rfMRI_REST2_AP,'-y,,,1,Y,100.0,
Day 2,14:49:40,7,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,2,Y,Y,203,FieldMap_SE_EPI_SBRef,N,C,2,4,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,14:50:01,8,FieldMap_SE_EPI,BOLD_PA_SE,,2,Y,Y,204,FieldMap_SE_EPI,N,C,2,4,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,14:51:16,9,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,2,Y,Y,205,FieldMap_SE_EPI_SBRef,N,C,2,4,,SpinEchoFieldMap_AP_SBRef,,,,,,,
